,credit.policy,purpose,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not_fully_paid
0,1,small_business,0.23,408.08,11.3238,12.77,704,13656.2,23712,59.2,6,2,0,0
1,1,credit_card,0.2152,202.81,10.7769,8.18,751,3489.9,59646,68.3,2,0,0,1
2,1,educational,0.23,407.62,10.8752,8.36,660,10532.3,53311,78.1,3,1,0,1
3,1,small_business,0.23,110.46,10.6973,29.76,688,7376.5,46322,91.5,5,1,1,0
4,0,major_purchase,0.23,146.23,11.2728,27.71,703,10166.6,1453,94.9,3,1,1,1
5,0,small_business,0.23,618.39,10.4678,2.28,754,2831.7,25035,63.0,0,1,1,1
6,0,all_other,0.23,273.19,10.7853,19.7,684,17208.9,3069,96.6,1,1,0,1
7,1,all_other,0.23,654.69,9.4869,13.71,706,16405.6,18081,91.1,6,2,1,0
8,0,small_business,0.23,90.89,11.9339,20.66,680,15048.7,51894,0.3,2,0,0,0
9,1,educational,0.2267,528.3,10.7677,17.91,779,16177.3,23268,63.8,0,1,1,1
10,0,debt_consolidation,0.23,382.73,11.1733,26.68,652,3493.7,10106,17.8,7,0,0,0
11,0,major_purchase,0.23,727.43,11.7747,2.01,668,9563.3,43272,29.5,7,0,0,0
12,0,major_purchase,0.23,716.36,11.0802,10.49,672,6404.5,45541,29.8,3,1,0,1
13,1,debt_consolidation,0.23,369.23,11.7666,29.56,810,16085.6,39324,48.3,5,1,0,1
14,0,debt_consolidation,0.1872,579.31,10.155,5.47,818,4220.4,48540,1.1,6,0,1,1
15,1,small_business,0.23,243.42,12.3384,3.82,725,4739.1,42125,23.6,0,0,0,0
16,1,major_purchase,0.23,543.35,11.5523,21.87,652,12674.1,38080,2.9,2,2,1,0
17,1,all_other,0.1951,119.07,11.0255,23.32,778,2511.3,53339,65.1,4,2,1,0
18,0,small_business,0.23,419.41,11.755,20.17,723,13450.2,19447,88.9,4,2,0,0
19,1,educational,0.2212,205.32,10.1988,23.29,798,5558.2,27377,99.8,2,0,0,1
20,1,all_other,0.228,800.87,10.7268,20.81,695,12235.9,33784,44.9,0,0,0,0
21,0,credit_card,0.23,428.17,11.7666,4.07,829,15841.6,40171,26.0,7,0,0,0
22,0,educational,0.23,552.16,9.7798,18.25,789,11363.4,28588,85.3,4,0,1,0
23,1,credit_card,0.23,356.32,11.2363,23.31,667,4615.6,26490,11.3,6,1,1,1
24,1,home_improvement,0.23,295.43,11.2193,25.97,772,1835.8,9919,97.4,3,1,0,1
25,0,home_improvement,0.23,222.48,12.0815,7.39,680,1758.4,38285,71.5,4,0,0,1
26,0,home_improvement,0.23,825.09,9.9502,3.82,693,2509.8,7418,50.4,3,1,1,1
27,0,credit_card,0.23,729.55,11.8658,23.43,672,10856.9,28489,9.7,3,1,1,0
28,1,small_business,0.23,163.27,10.5643,7.7,763,6919.7,24538,1.8,5,0,0,0
29,0,small_business,0.23,684.72,10.6318,0.96,675,5132.8,46599,54.5,7,1,0,0
30,0,credit_card,0.23,405.75,10.1668,24.76,754,4728.2,28593,41.4,6,1,0,1
31,0,home_improvement,0.23,63.09,10.2473,15.18,742,17125.9,315,84.3,5,2,1,1
32,0,debt_consolidation,0.201,499.11,11.1421,9.8,777,3019.9,30360,64.2,0,0,1,1
